speed_adv,stat_adv,coverage_adv,weakness_adv,hp_adv,atk_adv,sp_atk_adv,def_adv,type_diversity_adv,role_balance_a,winner
-5.3333,29.0,0.0,-0.5,-1.6667,-0.1667,19.1667,7.0,2.0,0.6,0
24.0,18.6667,-2.0,1.3333,-10.1667,-5.0,3.6667,6.1667,-2.0,0.8,0
13.6667,-3.3333,5.0,-0.5,-12.5,-5.0,8.3333,-12.0,3.0,0.8,0
4.6667,30.8333,3.0,-0.8333,29.3333,-15.6667,-0.8333,-3.3333,1.0,0.6,0
7.8333,29.3333,2.0,-1.1667,4.8333,-13.1667,27.0,-10.3333,2.0,0.6,0
18.1667,112.0,0.0,0.5,22.0,33.5,23.1667,2.1667,1.0,1.0,0
-0.8333,-1.3333,-3.0,0.1667,-9.8333,6.6667,3.0,2.8333,0.0,0.4,0
28.3333,54.1667,0.0,-0.1667,4.6667,-14.8333,15.1667,4.0,1.0,0.6,0
5.8333,-1.8333,5.0,-1.5,-2.8333,10.5,-4.1667,-6.1667,2.0,0.4,1
-6.3333,8.6667,-1.0,0.1667,7.6667,-0.8333,5.3333,2.5,-1.0,0.4,1
7.5,35.3333,-1.0,0.1667,7.5,28.8333,-10.3333,10.1667,1.0,0.6,0
12.6667,50.1667,5.0,0.0,14.0,24.0,3.3333,-8.0,2.0,0.8,0
2.6667,102.8333,-2.0,-0.3333,16.3333,25.8333,22.5,8.0,1.0,0.6,0
-2.0,83.0,-3.0,0.1667,7.1667,-2.8333,29.6667,18.8333,-1.0,1.0,1
-4.1667,99.6667,4.0,-1.8333,47.5,5.8333,6.5,29.1667,2.0,0.8,0
-5.0,-27.6667,5.0,-0.8333,-15.5,13.3333,-16.0,-1.6667,1.0,0.4,1
1.8333,76.0,2.0,-0.8333,18.3333,34.8333,-2.1667,27.0,1.0,0.6,0
9.8333,22.3333,-7.0,0.8333,33.8333,-10.8333,-8.3333,-27.1667,-4.0,0.8,1
9.6667,83.6667,2.0,-0.5,16.1667,29.1667,11.6667,10.1667,2.0,0.8,0
13.0,105.6667,2.0,0.0,25.6667,21.3333,2.5,18.1667,0.0,0.6,0
-6.8333,14.8333,-4.0,1.0,3.6667,-10.0,22.5,-1.0,-2.0,0.6,1
-8.8333,-25.6667,2.0,-0.1667,0.1667,-15.0,16.6667,-13.8333,1.0,0.8,1
-16.3333,-17.6667,-2.0,-1.6667,13.0,-12.1667,8.3333,4.6667,1.0,0.8,1
-7.1667,-92.8333,-7.0,2.5,-27.0,-33.0,0.8333,-15.6667,-2.0,0.6,1
-11.6667,-35.1667,3.0,0.3333,1.5,-8.8333,0.1667,-6.6667,1.0,0.6,1
12.5,4.6667,0.0,0.1667,-13.3333,16.3333,-5.8333,-5.6667,-3.0,0.6,1
-8.8333,-30.5,-1.0,0.3333,7.3333,-18.3333,13.5,-23.5,-1.0,0.4,1
-6.0,-109.3333,-2.0,-0.1667,-54.1667,-9.3333,-10.8333,10.1667,0.0,0.4,1
-4.6667,44.8333,-2.0,-1.3333,2.0,2.0,25.3333,19.0,0.0,0.6,1
9.1667,-9.3333,4.0,-0.1667,-9.6667,3.6667,-7.5,3.3333,1.0,0.6,0
-21.0,-71.6667,-3.0,0.3333,-9.1667,-15.0,-10.3333,-3.1667,1.0,0.6,1
5.8333,-43.8333,-4.0,-0.5,-22.5,-13.6667,-9.1667,0.6667,-1.0,0.6,1
-7.0,96.1667,1.0,-1.0,30.0,-10.1667,45.8333,8.3333,1.0,0.8,0
15.6667,-9.5,-3.0,0.5,-16.1667,-1.6667,-5.5,9.0,-3.0,0.6,0
-0.5,-16.6667,4.0,-1.8333,-2.1667,-5.5,-1.3333,3.3333,2.0,0.4,1
14.6667,-5.8333,-1.0,-0.1667,-4.6667,5.1667,-19.1667,5.6667,-1.0,0.4,1
-7.5,-47.6667,1.0,0.6667,-10.3333,-28.8333,0.6667,-5.6667,-1.0,0.6,1
15.6667,-6.6667,-1.0,-0.1667,-50.8333,21.0,-3.1667,14.8333,-2.0,0.6,0
1.3333,-35.1667,1.0,0.0,-5.8333,-10.3333,-10.0,-2.8333,0.0,0.6,1
-24.5,-15.0,-4.0,0.3333,-10.0,7.0,-6.6667,44.1667,-1.0,0.4,1
13.8333,31.1667,4.0,-0.5,1.3333,4.3333,8.3333,-0.8333,1.0,0.6,0
-28.3333,-11.1667,3.0,-1.3333,3.0,-2.6667,-8.3333,18.6667,1.0,0.6,0
7.5,188.0,4.0,-0.3333,40.8333,35.0,22.5,48.0,4.0,0.6,0
21.6667,106.3333,-1.0,0.5,17.5,19.5,30.8333,4.3333,1.0,0.4,0
2.5,-105.1667,-2.0,2.1667,-13.1667,-27.6667,-12.5,-29.1667,1.0,0.4,0
-15.8333,-18.3333,4.0,-1.1667,5.8333,7.0,-6.6667,3.8333,2.0,0.6,0
-2.6667,-5.1667,1.0,0.6667,-4.0,-6.1667,9.1667,-5.6667,-1.0,0.6,0
1.1667,99.8333,2.0,-0.5,10.3333,16.1667,18.6667,38.8333,-1.0,0.4,0
-19.1667,-43.8333,3.0,-0.6667,-15.6667,-4.6667,-6.8333,0.5,1.0,0.4,0
23.6667,94.3333,6.0,0.1667,12.5,24.0,21.6667,-4.1667,3.0,0.8,0
-6.3333,0.0,3.0,-0.5,23.3333,7.8333,-13.8333,2.3333,3.0,0.8,0
10.1667,14.6667,-1.0,0.3333,1.6667,6.1667,0.1667,-15.3333,-1.0,0.8,0
-36.5,-182.5,1.0,-0.1667,-31.6667,-21.3333,-41.5,-24.8333,2.0,0.6,1
-0.1667,-43.5,-2.0,0.5,1.0,-6.0,-11.8333,-8.6667,-1.0,0.6,1
-12.6667,-63.8333,3.0,0.1667,-19.1667,0.6667,-10.0,-16.0,1.0,0.6,1
-27.6667,-58.1667,0.0,0.0,-8.3333,-2.8333,-13.5,-7.3333,0.0,0.4,1
5.3333,-13.5,0.0,-0.3333,-3.6667,-9.1667,2.6667,-12.0,0.0,0.6,1
6.5,24.1667,2.0,0.1667,9.6667,13.8333,13.3333,-14.1667,1.0,0.8,1
15.5,-11.6667,-3.0,0.8333,-31.8333,-2.0,5.8333,0.0,-1.0,0.6,1
-15.3333,-51.1667,5.0,-0.3333,-12.5,-12.0,-2.8333,16.1667,5.0,0.4,1
-11.0,41.6667,-7.0,-0.3333,23.3333,14.1667,2.5,3.5,-3.0,0.6,1
-11.0,-40.6667,1.0,-0.5,-7.1667,-23.8333,18.3333,5.5,1.0,0.6,1
13.3333,-2.8333,-2.0,1.3333,10.0,1.6667,0.6667,-32.6667,-1.0,0.6,1
-0.1667,52.0,-1.0,0.0,16.0,-6.6667,11.3333,14.8333,1.0,0.8,1
3.5,-8.6667,1.0,-0.6667,3.0,-18.8333,14.5,-7.1667,1.0,0.6,0
-28.6667,-70.3333,1.0,0.0,11.3333,2.1667,-13.6667,-26.1667,-1.0,0.6,1
-2.6667,-72.5,-2.0,0.6667,-20.1667,-27.3333,-0.5,-17.6667,-3.0,0.6,1
24.0,40.0,-3.0,0.6667,-1.6667,13.0,8.3333,-3.6667,0.0,0.4,1
0.3333,-9.1667,0.0,-0.5,-8.1667,-8.5,15.0,7.1667,1.0,0.6,0
-3.5,8.3333,1.0,0.3333,18.3333,17.8333,-18.8333,0.3333,0.0,0.6,1
41.1667,127.3333,0.0,1.0,14.5,31.8333,29.1667,-28.5,1.0,0.8,0
35.8333,123.3333,3.0,0.6667,13.3333,10.8333,33.5,13.3333,1.0,0.8,0
-13.1667,-63.8333,-3.0,0.8333,-7.6667,-9.5,-7.8333,-3.1667,-2.0,0.6,1
15.8333,-6.3333,-1.0,0.1667,2.5,14.6667,-26.5,7.8333,-1.0,0.8,1
6.6667,37.3333,0.0,0.5,-0.3333,18.6667,-6.6667,4.8333,2.0,0.8,0
15.0,80.0,3.0,-0.3333,15.8333,6.6667,23.1667,-3.8333,1.0,0.6,0
18.1667,56.3333,5.0,0.6667,13.5,13.8333,-6.6667,4.1667,1.0,0.8,0
10.8333,70.5,1.0,-1.0,24.3333,-3.0,16.8333,2.5,-1.0,0.8,0
23.3333,30.5,5.0,1.6667,-0.1667,-7.3333,12.5,-6.8333,2.0,0.8,0
-29.1667,-2.0,-2.0,0.5,33.1667,0.8333,-13.6667,2.5,-3.0,0.6,1
19.5,28.0,5.0,-0.6667,-7.0,13.8333,-19.8333,12.1667,2.0,0.6,0
-18.5,-16.5,1.0,-0.6667,2.6667,15.0,-21.5,17.5,1.0,0.8,1
10.5,11.3333,0.0,0.8333,-1.6667,1.6667,2.5,-5.0,-2.0,0.6,0
16.1667,-6.6667,-2.0,1.3333,12.0,10.8333,-26.1667,-17.3333,-1.0,0.6,0
25.1667,-10.3333,0.0,0.3333,-7.5,-25.6667,12.1667,-27.8333,-1.0,0.6,1
-26.0,-67.3333,-1.0,-0.1667,9.6667,-13.5,-29.1667,-0.8333,-1.0,0.6,1
28.8333,110.1667,-3.0,-0.8333,20.1667,23.1667,12.8333,7.6667,-2.0,0.8,0
-5.8333,-58.8333,-1.0,1.0,-25.8333,-16.1667,-9.0,12.0,0.0,0.6,1
-23.3333,52.8333,5.0,-0.6667,22.8333,29.6667,13.6667,0.0,2.0,1.0,1
16.3333,39.5,4.0,-1.1667,-2.3333,16.6667,-8.1667,-0.5,4.0,0.8,0
-2.8333,17.6667,-3.0,0.5,34.5,-14.5,-2.5,-17.8333,-2.0,0.6,1
-32.1667,-88.3333,0.0,0.5,-10.0,-23.6667,4.1667,-15.0,-1.0,0.4,1
-26.1667,-55.8333,8.0,-2.1667,0.6667,3.1667,-27.5,1.5,2.0,0.4,1
-15.1667,-31.8333,3.0,-0.8333,-1.8333,-26.6667,10.0,9.3333,2.0,0.6,1
13.8333,-15.8333,-3.0,1.0,-5.0,-20.0,2.3333,-6.0,-3.0,0.6,1
-19.5,-67.6667,5.0,-1.8333,-10.5,-8.0,-16.1667,-11.0,1.0,0.4,1
13.0,129.5,-6.0,0.6667,25.0,25.5,30.0,1.0,-1.0,0.6,0
5.8333,-32.0,0.0,0.5,-5.0,-17.5,5.8333,-18.6667,1.0,0.6,1
29.6667,98.6667,2.0,0.8333,16.3333,16.5,5.1667,10.8333,1.0,0.6,0
5.3333,27.5,-1.0,0.3333,-14.8333,32.1667,-13.3333,13.1667,-1.0,0.6,0
7.0,-27.1667,0.0,-0.1667,-45.1667,-5.6667,18.3333,9.0,0.0,0.8,1
12.3333,54.5,-1.0,0.6667,11.6667,15.8333,-0.8333,17.1667,-1.0,0.6,0
-28.3333,-90.8333,1.0,0.3333,-8.8333,-16.1667,-17.8333,1.5,1.0,0.4,1
20.5,14.5,-3.0,-0.1667,-2.3333,-12.3333,19.1667,-11.0,0.0,0.6,0
17.6667,70.0,4.0,-0.5,2.1667,14.3333,0.8333,25.6667,2.0,0.8,0
-13.3333,-47.1667,-4.0,0.1667,-9.1667,-2.0,-11.1667,-2.6667,-2.0,0.6,1
6.3333,-26.6667,5.0,-0.5,-31.0,9.8333,0.8333,-7.6667,1.0,0.4,0
20.5,78.8333,4.0,0.5,6.8333,32.3333,12.6667,3.5,0.0,0.6,0
-2.0,-25.3333,-7.0,1.0,-9.3333,-8.6667,-0.8333,-5.1667,-3.0,0.4,1
3.0,16.6667,-1.0,0.1667,16.8333,8.3333,0.8333,-21.6667,-2.0,0.6,0
-1.5,-41.0,1.0,0.0,-32.3333,16.1667,-13.3333,-3.3333,-1.0,0.6,0
2.8333,-64.6667,3.0,-0.5,-4.3333,-10.3333,-11.6667,-37.6667,2.0,0.6,1
16.1667,46.8333,1.0,-0.8333,1.8333,8.6667,16.8333,-3.6667,2.0,0.6,0
-21.0,2.1667,4.0,-1.1667,14.3333,15.6667,-26.6667,28.1667,0.0,0.4,1
-3.8333,46.5,5.0,-0.8333,0.8333,-4.5,30.0,15.6667,4.0,0.6,0
2.1667,-61.0,1.0,-0.3333,-18.3333,0.8333,-39.3333,1.3333,0.0,0.6,1
-10.1667,-97.8333,-4.0,1.0,-11.3333,-16.6667,-9.0,-31.6667,-2.0,0.6,1
-13.3333,-50.6667,0.0,0.0,-4.8333,4.3333,-20.8333,5.8333,0.0,0.6,1
-9.5,2.1667,3.0,0.1667,14.1667,-2.3333,-1.1667,-13.1667,2.0,0.6,1
11.3333,-0.5,-6.0,2.0,-1.8333,16.6667,-17.5,-3.3333,-5.0,0.4,1
-29.8333,-22.6667,0.0,0.5,21.1667,9.6667,-26.6667,6.3333,0.0,0.6,0
-17.1667,-52.6667,-1.0,-0.6667,9.3333,-2.5,-24.5,-4.8333,-2.0,0.6,1
-20.1667,-150.6667,3.0,0.3333,-24.6667,-29.1667,-31.6667,-21.6667,1.0,0.4,1
-10.5,11.6667,0.0,-0.5,9.1667,-15.8333,4.1667,30.5,2.0,0.8,0
1.0,-103.6667,1.0,0.5,-17.6667,-18.1667,-15.5,-24.0,2.0,0.6,0
-13.1667,21.1667,-1.0,0.6667,20.3333,16.5,-10.0,19.8333,-1.0,0.6,0
-17.6667,0.6667,0.0,-1.1667,6.0,11.3333,-6.8333,-1.5,0.0,0.8,1
0.5,54.5,4.0,-0.6667,15.1667,6.8333,0.8333,17.8333,0.0,0.4,0
-0.1667,40.5,-2.0,0.6667,32.6667,14.6667,1.5,-5.6667,0.0,0.8,0
-14.3333,62.8333,2.0,0.0,23.3333,7.6667,18.3333,17.6667,-1.0,0.4,1
22.5,-87.8333,1.0,-1.1667,-31.0,-27.5,2.1667,-32.0,1.0,0.6,0
-10.5,-41.5,-1.0,1.6667,-1.5,-19.1667,-4.1667,-3.6667,-2.0,0.6,1
11.0,97.0,-2.0,0.3333,23.3333,12.1667,24.0,7.8333,0.0,0.6,1
-20.8333,-119.1667,8.0,-1.8333,1.1667,-25.3333,-16.6667,-44.1667,3.0,0.4,1
-24.0,-54.1667,-4.0,1.0,19.8333,-27.0,0.8333,-21.3333,-2.0,0.6,1
-3.3333,33.0,-4.0,1.8333,21.1667,-4.0,-5.0,2.5,-3.0,0.8,1
24.0,7.1667,-3.0,1.5,4.8333,-8.8333,-4.5,-8.8333,-2.0,0.8,0
10.8333,87.5,-1.0,-0.5,7.6667,15.0,20.6667,8.3333,-1.0,0.6,0
7.8333,30.8333,-1.0,0.1667,4.5,15.1667,-13.3333,10.8333,-1.0,0.6,0
-11.3333,119.5,2.0,-0.8333,20.8333,5.0,44.1667,44.0,3.0,0.6,1
3.1667,-24.0,2.0,0.3333,-0.3333,5.1667,-13.8333,-7.0,0.0,0.6,0
-4.1667,-97.0,-1.0,1.1667,-19.8333,-28.0,-10.0,-24.6667,-2.0,0.4,1
6.3333,33.6667,0.0,0.3333,-2.5,3.3333,9.5,8.6667,1.0,0.8,1
-6.1667,5.6667,0.0,-0.6667,1.1667,-5.0,8.3333,-4.3333,1.0,0.6,1
-6.3333,-32.3333,-4.0,0.1667,-12.5,-3.0,-5.8333,3.0,0.0,0.6,1
-6.5,-90.8333,1.0,-0.5,-45.0,5.1667,-12.1667,16.0,0.0,0.4,1
12.8333,20.1667,-1.0,-0.3333,9.8333,10.6667,-6.8333,-20.5,-1.0,0.8,1
-24.3333,-80.0,0.0,0.3333,-1.5,-7.5,-20.3333,-8.1667,0.0,0.6,1
-18.3333,-103.3333,0.0,-0.3333,-13.3333,-10.0,-20.0,-19.1667,0.0,0.8,1
21.1667,-42.1667,-2.0,1.1667,-18.1667,-8.3333,-23.3333,-7.6667,-3.0,0.4,1
30.3333,28.6667,-1.0,1.1667,-3.5,9.3333,-6.8333,-0.3333,-2.0,0.6,0
20.5,50.5,0.0,0.1667,-32.5,25.8333,30.0,-0.6667,0.0,0.4,0
-20.1667,-162.6667,-1.0,0.5,-15.8333,-34.1667,-13.5,-38.8333,-1.0,0.6,1
-13.0,40.5,1.0,0.8333,10.3333,-7.3333,26.5,1.6667,1.0,0.6,0
13.5,103.3333,1.0,0.0,25.5,19.6667,9.3333,9.5,1.0,0.6,0
2.6667,53.5,3.0,0.0,3.5,10.1667,15.1667,20.1667,1.0,0.8,0
-27.0,-93.5,-2.0,0.3333,-5.8333,-23.3333,-20.8333,-3.1667,-2.0,0.6,1
-3.0,41.6667,1.0,-0.5,7.3333,7.1667,9.1667,11.8333,0.0,0.6,1
-10.3333,-10.5,-1.0,-1.1667,2.5,2.3333,-6.1667,14.5,-1.0,0.6,1
